seqnames,gc,gcmed
chr1,0.2,572.5
chr1,0.21,1403
chr1,0.22,3136.5
chr1,0.23,6002
chr1,0.24,10039
chr1,0.25,16011.5
chr1,0.26,22310.5
chr1,0.27,30613.5
chr1,0.28,41281
chr1,0.29,48065
chr1,0.3,58843.5
chr1,0.31,66882
chr1,0.32,75662
chr1,0.33,77464
chr1,0.34,92562.5
chr1,0.35,92747.5
chr1,0.36,96894
chr1,0.37,94437.5
chr1,0.38,101239
chr1,0.39,98540.5
chr1,0.4,97074.5
chr1,0.41,92882
chr1,0.42,90510
chr1,0.43,85749
chr1,0.44,83083
chr1,0.45,80735.5
chr1,0.46,78449.5
chr1,0.47,72402
chr1,0.48,70508
chr1,0.49,70892
chr1,0.5,60900.5
chr1,0.51,64799
chr1,0.52,57182
chr1,0.53,50187
chr1,0.54,43915.5
chr1,0.55,35644.5
chr1,0.56,28816.5
chr1,0.57,24036
chr1,0.58,19548
chr1,0.59,16072.5
chr1,0.6,13479.5
chr1,0.61,10947.5
chr1,0.62,8971
chr1,0.63,6814.5
chr1,0.64,5753
chr1,0.65,4442.5
chr1,0.66,3566
chr1,0.67,2418
chr1,0.68,1957
chr1,0.69,1440.5
chr1,0.7,1130.5
chr1,0.71,834.5
chr1,0.72,684
chr1,0.73,503
chr1,0.74,391
chr1,0.75,334.5
chr1,0.76,283.5
chr1,0.77,251.5
chr1,0.78,253
chr1,0.79,218
chr1,0.8,169
chr2,0.2,747.5
chr2,0.21,1821
chr2,0.22,4206.5
chr2,0.23,7799.5
chr2,0.24,13188.5
chr2,0.25,21233.5
chr2,0.26,29753
chr2,0.27,40241.5
chr2,0.28,54262.5
chr2,0.29,62353.5
chr2,0.3,75487.5
chr2,0.31,85081
chr2,0.32,94937
chr2,0.33,96382.5
chr2,0.34,114388.5
chr2,0.35,112687
chr2,0.36,115865.5
chr2,0.37,110656.5
chr2,0.38,117050.5
chr2,0.39,112132.5
chr2,0.4,108305.5
chr2,0.41,101878.5
chr2,0.42,97537.5
chr2,0.43,90916.5
chr2,0.44,85831.5
chr2,0.45,81087.5
chr2,0.46,77464
chr2,0.47,69892
chr2,0.48,66004.5
chr2,0.49,64641.5
chr2,0.5,53967
chr2,0.51,55989.5
chr2,0.52,48770
chr2,0.53,41903
chr2,0.54,36055
chr2,0.55,28761.5
chr2,0.56,23063.5
chr2,0.57,19006.5
chr2,0.58,15215.5
chr2,0.59,12468
chr2,0.6,10344.5
chr2,0.61,8430
chr2,0.62,6913.5
chr2,0.63,5117.5
chr2,0.64,4241
chr2,0.65,3161.5
chr2,0.66,2484
chr2,0.67,1620.5
chr2,0.68,1278
chr2,0.69,933
chr2,0.7,724
chr2,0.71,531
chr2,0.72,464.5
chr2,0.73,358
chr2,0.74,295.5
chr2,0.75,252.5
chr2,0.76,214
chr2,0.77,181.5
chr2,0.78,161
chr2,0.79,126.5
chr2,0.8,100
chr3,0.2,678.5
chr3,0.21,1643.5
chr3,0.22,3663.5
